Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	57.471	-48.147	2.700	0	0.000
0	57.471	-48.034	2.700	1	0.754
0	57.388	-46.874	2.700	0	0.739
0	57.388	-49.135	2.700	1	0.800
0	57.310	-49.558	2.700	0	0.106
0	57.310	-46.410	2.700	1	0.802
0	57.227	-46.077	2.700	0	0.067
0	57.227	-49.903	2.700	1	0.801
0	57.144	-50.194	2.700	0	0.051
0	57.144	-45.779	2.700	1	0.799
0	57.060	-45.529	2.700	0	0.039
0	57.060	-50.468	2.700	1	0.800
0	56.983	-50.664	2.700	0	0.029
0	56.983	-45.285	2.700	1	0.800
0	56.900	-45.113	2.700	0	0.024
0	56.900	-50.890	2.700	1	0.800
0	56.817	-51.063	2.700	0	0.023
0	56.817	-44.887	2.700	1	0.799
0	56.733	-44.744	2.700	0	0.019
0	56.733	-51.259	2.700	1	0.799
0	56.656	-51.408	2.700	0	0.018
0	56.656	-44.554	2.700	1	0.799
0	56.573	-44.423	2.700	0	0.016
0	56.573	-51.587	2.700	1	0.800
0	56.489	-51.711	2.700	0	0.015
0	56.489	-44.274	2.700	1	0.800
0	56.406	-44.125	2.700	0	0.016
0	56.406	-51.866	2.700	1	0.800
0	56.329	-51.991	2.700	0	0.014
0	56.329	-43.994	2.700	1	0.800
0	56.245	-43.869	2.700	0	0.013
0	56.245	-52.128	2.700	1	0.800
0	56.162	-52.241	2.700	0	0.012
0	56.162	-43.744	2.700	1	0.800
0	56.079	-43.614	2.700	0	0.013
0	56.079	-52.360	2.700	1	0.801
0	56.001	-52.461	2.700	0	0.011
0	56.001	-43.518	2.700	1	0.800
0	55.918	-43.411	2.700	0	0.011
0	55.918	-52.562	2.700	1	0.799
0	55.835	-52.675	2.700	0	0.011
0	55.835	-43.298	2.700	1	0.800
0	55.752	-43.197	2.700	0	0.010
0	55.752	-52.794	2.700	1	0.800
0	55.668	-52.872	2.700	0	0.009
0	55.668	-43.120	2.700	1	0.799
0	55.591	-43.007	2.700	0	0.010
0	55.591	-52.985	2.700	1	0.800
0	55.508	-53.062	2.700	0	0.008
0	55.508	-42.905	2.700	1	0.800
0	55.424	-42.834	2.700	0	0.008
0	55.424	-53.145	2.700	1	0.799
0	55.341	-53.235	2.700	0	0.009
0	55.341	-42.739	2.700	1	0.800
0	55.264	-42.667	2.700	0	0.007
0	55.264	-53.318	2.700	1	0.799
0	55.180	-53.413	2.700	0	0.009
0	55.180	-42.578	2.700	1	0.800
0	55.097	-42.501	2.700	0	0.008
0	55.097	-53.479	2.700	1	0.800
0	55.014	-53.556	2.700	0	0.008
0	55.014	-42.429	2.700	1	0.799
0	54.936	-42.352	2.700	0	0.007
0	54.936	-53.621	2.700	1	0.799
0	54.853	-53.711	2.700	0	0.008
0	54.853	-42.293	2.700	1	0.800
0	54.770	-42.221	2.700	0	0.007
0	54.770	-53.758	2.700	1	0.800
0	54.686	-53.836	2.700	0	0.007
0	54.686	-42.162	2.700	1	0.800
0	54.609	-42.090	2.700	0	0.007
0	54.609	-53.907	2.700	1	0.800
0	54.526	-53.955	2.700	0	0.006
0	54.526	-42.025	2.700	1	0.799
0	54.443	-41.959	2.700	0	0.007
0	54.443	-54.020	2.700	1	0.800
0	54.359	-54.086	2.700	0	0.007
0	54.359	-41.894	2.700	1	0.799
0	54.282	-41.846	2.700	0	0.006
0	54.282	-54.133	2.700	1	0.799
0	54.199	-54.210	2.700	0	0.007
0	54.199	-41.793	2.700	1	0.800
0	54.115	-41.727	2.700	0	0.006
0	54.115	-54.240	2.700	1	0.800
0	54.032	-54.300	2.700	0	0.006
0	54.032	-41.692	2.700	1	0.799
0	53.955	-41.626	2.700	0	0.006
0	53.955	-54.365	2.700	1	0.800
0	53.871	-54.407	2.700	0	0.005
0	53.871	-41.573	2.700	1	0.800
0	53.788	-41.531	2.700	0	0.005
0	53.788	-54.460	2.700	1	0.799
0	53.705	-54.502	2.700	0	0.005
0	53.705	-41.483	2.700	1	0.800
0	53.621	-41.424	2.700	0	0.006
0	53.621	-54.556	2.700	1	0.799
0	53.544	-54.591	2.700	0	0.005
0	53.544	-41.400	2.700	1	0.799
0	53.461	-41.335	2.700	0	0.006
0	53.461	-54.645	2.700	1	0.799
0	53.377	-54.681	2.700	0	0.005
0	53.377	-41.305	2.700	1	0.800
0	53.294	-41.251	2.700	0	0.006
0	53.294	-54.728	2.700	1	0.800
0	53.217	-54.758	2.700	0	0.005
0	53.217	-41.233	2.700	1	0.799
0	53.133	-41.168	2.700	0	0.006
0	53.133	-54.800	2.700	1	0.799
0	53.050	-54.841	2.700	0	0.005
0	53.050	-41.168	2.700	1	0.800
0	52.967	-41.168	2.700	0	0.005
0	52.967	-54.877	2.700	1	0.799
0	52.890	-54.907	2.700	0	0.005
0	52.890	-41.198	2.700	1	0.799
0	52.806	-41.216	2.700	0	0.005
0	52.806	-54.948	2.700	1	0.800
0	52.723	-54.972	2.700	0	0.005
0	52.723	-41.239	2.700	1	0.800
0	52.640	-41.263	2.700	0	0.005
0	52.640	-55.014	2.700	1	0.799
0	52.562	-55.038	2.700	0	0.004
0	52.562	-41.287	2.700	1	0.799
0	52.479	-41.305	2.700	0	0.005
0	52.479	-55.073	2.700	1	0.799
0	52.396	-55.097	2.700	0	0.005
0	52.396	-41.347	2.700	1	0.799
0	52.312	-41.335	2.700	0	0.005
0	52.312	-55.133	2.700	1	0.800
0	52.235	-55.151	2.700	0	0.004
0	52.235	-41.370	2.700	1	0.800
0	52.152	-41.394	2.700	0	0.005
0	52.152	-55.168	2.700	1	0.800
0	52.068	-55.204	2.700	0	0.005
0	52.068	-41.418	2.700	1	0.799
0	51.985	-41.424	2.700	0	0.005
0	51.985	-55.216	2.700	1	0.800
0	51.908	-55.252	2.700	0	0.005
0	51.908	-41.460	2.700	1	0.800
0	51.825	-41.483	2.700	0	0.005
0	51.825	-55.246	2.700	1	0.799
0	51.741	-55.299	2.700	0	0.005
0	51.741	-41.501	2.700	1	0.800
0	51.658	-41.507	2.700	0	0.005
0	51.658	-55.305	2.700	1	0.800
0	51.575	-55.323	2.700	0	0.005
0	51.581	-41.555	2.700	1	0.799
0	51.497	-41.561	2.700	0	0.005
0	51.497	-55.341	2.700	1	0.800
0	51.414	-55.359	2.700	0	0.005
0	51.414	-41.590	2.700	1	0.799
0	51.331	-41.596	2.700	0	0.005
0	51.331	-55.365	2.700	1	0.799
0	51.247	-55.395	2.700	0	0.005
0	51.247	-41.644	2.700	1	0.799
0	51.170	-41.650	2.700	0	0.004
0	51.170	-55.400	2.700	1	0.799
0	51.087	-55.412	2.700	0	0.005
0	51.087	-41.680	2.700	1	0.800
0	51.003	-41.704	2.700	0	0.005
0	51.003	-55.418	2.700	1	0.800
0	50.920	-55.442	2.700	0	0.005
0	50.920	-41.733	2.700	1	0.799
0	50.843	-41.739	2.700	0	0.004
0	50.843	-55.448	2.700	1	0.799
0	50.759	-55.454	2.700	0	0.005
0	50.759	-41.769	2.700	1	0.799
0	50.676	-41.775	2.700	0	0.005
0	50.676	-55.466	2.700	1	0.799
0	50.593	-55.472	2.700	0	0.005
0	50.593	-41.811	2.700	1	0.800
0	50.516	-41.834	2.700	0	0.004
0	50.516	-55.466	2.700	1	0.799
0	50.432	-55.490	2.700	0	0.005
0	50.432	-41.852	2.700	1	0.800
0	50.349	-41.858	2.700	0	0.005
0	50.349	-55.472	2.700	1	0.800
0	50.266	-55.508	2.700	0	0.005
0	50.266	-41.912	2.700	1	0.800
0	50.188	-41.906	2.700	0	0.004
0	50.188	-55.496	2.700	1	0.799
0	50.105	-55.496	2.700	0	0.005
0	50.105	-41.942	2.700	1	0.800
0	50.022	-41.947	2.700	0	0.005
0	50.022	-55.478	2.700	1	0.799
0	49.938	-55.514	2.700	0	0.005
0	49.938	-42.001	2.700	1	0.800
0	49.861	-41.995	2.700	0	0.004
0	49.861	-55.484	2.700	1	0.799
0	49.778	-55.502	2.700	0	0.005
0	49.778	-42.031	2.700	1	0.799
0	49.694	-42.055	2.700	0	0.005
0	49.694	-55.484	2.700	1	0.799
0	49.611	-55.496	2.700	0	0.005
0	49.611	-42.090	2.700	1	0.799
0	49.534	-42.078	2.700	0	0.004
0	49.534	-55.478	2.700	1	0.800
0	49.450	-55.484	2.700	0	0.005
0	49.450	-42.132	2.700	1	0.800
0	49.367	-42.126	2.700	0	0.005
0	49.367	-55.466	2.700	1	0.800
0	49.284	-55.472	2.700	0	0.005
0	49.284	-42.162	2.700	1	0.799
0	49.206	-42.185	2.700	0	0.005
0	49.201	-55.454	2.700	1	0.799
0	49.123	-55.448	2.700	0	0.004
0	49.123	-42.215	2.700	1	0.800
0	49.040	-42.221	2.700	0	0.005
0	49.040	-55.430	2.700	1	0.799
0	48.957	-55.436	2.700	0	0.005
0	48.957	-42.257	2.700	1	0.800
0	48.879	-42.263	2.700	0	0.004
0	48.873	-55.412	2.700	1	0.799
0	48.796	-55.400	2.700	0	0.004
0	48.796	-42.310	2.700	1	0.799
0	48.713	-42.299	2.700	0	0.005
0	48.713	-55.371	2.700	1	0.800
0	48.629	-55.389	2.700	0	0.005
0	48.629	-42.340	2.700	1	0.799
0	48.546	-42.358	2.700	0	0.005
0	48.546	-55.353	2.700	1	0.800
0	48.469	-55.353	2.700	0	0.004
0	48.469	-42.382	2.700	1	0.799
0	48.385	-42.406	2.700	0	0.005
0	48.385	-55.317	2.700	1	0.799
0	48.302	-55.311	2.700	0	0.005
0	48.302	-42.441	2.700	1	0.799
0	48.219	-42.441	2.700	0	0.005
0	48.219	-55.270	2.700	1	0.799
0	48.141	-55.281	2.700	0	0.005
0	48.141	-42.471	2.700	1	0.799
0	48.058	-42.489	2.700	0	0.005
0	48.058	-55.222	2.700	1	0.800
0	47.975	-55.240	2.700	0	0.005
0	47.975	-42.519	2.700	1	0.800
0	47.892	-42.525	2.700	0	0.005
0	47.892	-55.174	2.700	1	0.799
0	47.814	-55.192	2.700	0	0.005
0	47.814	-42.572	2.700	1	0.800
0	47.731	-42.572	2.700	0	0.005
0	47.731	-55.145	2.700	1	0.800
0	47.648	-55.127	2.700	0	0.005
0	47.648	-42.608	2.700	1	0.800
0	47.564	-42.620	2.700	0	0.005
0	47.564	-55.085	2.700	1	0.800
0	47.487	-55.079	2.700	0	0.005
0	47.487	-42.644	2.700	1	0.800
0	47.404	-42.667	2.700	0	0.005
0	47.404	-55.020	2.700	1	0.799
0	47.320	-55.014	2.700	0	0.005
0	47.320	-42.691	2.700	1	0.799
0	47.237	-42.691	2.700	0	0.005
0	47.237	-54.972	2.700	1	0.800
0	47.154	-54.948	2.700	0	0.005
0	47.160	-42.739	2.700	1	0.799
0	47.076	-42.745	2.700	0	0.005
0	47.076	-54.895	2.700	1	0.799
0	46.993	-54.883	2.700	0	0.005
0	46.993	-42.786	2.700	1	0.800
0	46.910	-42.792	2.700	0	0.005
0	46.910	-54.823	2.700	1	0.799
0	46.827	-54.811	2.700	0	0.005
0	46.827	-42.822	2.700	1	0.799
0	46.749	-42.840	2.700	0	0.005
0	46.749	-54.758	2.700	1	0.800
0	46.666	-54.722	2.700	0	0.006
0	46.666	-42.870	2.700	1	0.799
0	46.583	-42.876	2.700	0	0.005
0	46.583	-54.669	2.700	1	0.800
0	46.499	-54.651	2.700	0	0.005
0	46.499	-42.917	2.700	1	0.800
0	46.422	-42.923	2.700	0	0.005
0	46.422	-54.573	2.700	1	0.799
0	46.339	-54.567	2.700	0	0.005
