Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	55.752	-52.771	2.650	0	0.000
0	55.817	-52.687	2.650	1	0.847
0	56.370	-51.902	2.650	0	0.641
0	54.942	-53.604	2.650	1	0.801
0	54.591	-53.901	2.650	0	0.114
0	56.608	-51.497	2.650	1	0.799
0	56.769	-51.182	2.650	0	0.069
0	54.300	-54.115	2.650	1	0.799
0	54.056	-54.282	2.650	0	0.049
0	56.894	-50.896	2.650	1	0.800
0	56.989	-50.658	2.650	0	0.038
0	53.836	-54.419	2.650	1	0.801
0	53.615	-54.556	2.650	0	0.035
0	57.055	-50.450	2.650	1	0.799
0	57.138	-50.230	2.650	0	0.030
0	53.413	-54.669	2.650	1	0.799
0	53.235	-54.746	2.650	0	0.023
0	57.197	-50.034	2.650	1	0.800
0	57.245	-49.843	2.650	0	0.022
0	53.068	-54.823	2.650	1	0.800
0	52.890	-54.907	2.650	0	0.021
0	57.298	-49.653	2.650	1	0.800
0	57.328	-49.492	2.650	0	0.017
0	52.729	-54.972	2.650	1	0.799
0	52.580	-55.026	2.650	0	0.016
0	57.352	-49.337	2.650	1	0.801
0	57.394	-49.159	2.650	0	0.018
0	52.419	-55.091	2.650	1	0.800
0	52.277	-55.133	2.650	0	0.014
0	57.406	-49.016	2.650	1	0.800
0	57.429	-48.861	2.650	0	0.014
0	52.122	-55.186	2.650	1	0.800
0	51.985	-55.222	2.650	0	0.012
0	57.459	-48.701	2.650	1	0.799
0	57.453	-48.576	2.650	0	0.011
0	51.854	-55.252	2.650	1	0.799
0	51.717	-55.287	2.650	0	0.012
0	57.465	-48.439	2.650	1	0.800
0	57.471	-48.308	2.650	0	0.011
0	51.587	-55.317	2.650	1	0.799
0	51.444	-55.359	2.650	0	0.012
0	57.477	-48.171	2.650	1	0.800
0	57.477	-48.040	2.650	0	0.010
0	51.319	-55.383	2.650	1	0.800
0	51.206	-55.389	2.650	0	0.009
0	57.477	-47.915	2.650	1	0.800
0	57.477	-47.790	2.650	0	0.009
0	51.075	-55.418	2.650	1	0.800
0	50.956	-55.436	2.650	0	0.009
