Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	51.212	-55.389	2.600	0	0.000
0	51.325	-55.365	2.600	1	0.802
0	52.366	-55.097	2.600	0	0.723
0	50.141	-55.490	2.600	1	0.833
0	49.712	-55.484	2.600	0	0.110
0	52.812	-54.936	2.600	1	0.835
0	53.122	-54.800	2.600	0	0.069
0	49.343	-55.466	2.600	1	0.833
0	49.052	-55.436	2.600	0	0.051
0	53.383	-54.669	2.600	1	0.833
0	53.621	-54.544	2.600	0	0.042
0	48.796	-55.395	2.600	1	0.833
0	48.558	-55.353	2.600	0	0.034
0	53.836	-54.425	2.600	1	0.833
0	54.032	-54.306	2.600	0	0.030
0	48.344	-55.311	2.600	1	0.833
0	48.124	-55.264	2.600	0	0.028
0	54.210	-54.193	2.600	1	0.833
0	54.353	-54.086	2.600	0	0.021
0	47.951	-55.210	2.600	1	0.833
0	47.755	-55.162	2.600	0	0.023
0	54.514	-53.972	2.600	1	0.834
0	54.639	-53.865	2.600	0	0.018
0	47.606	-55.109	2.600	1	0.834
0	47.439	-55.055	2.600	0	0.018
0	54.782	-53.758	2.600	1	0.833
0	54.901	-53.651	2.600	0	0.016
0	47.303	-54.996	2.600	1	0.833
0	47.130	-54.942	2.600	0	0.017
0	55.032	-53.550	2.600	1	0.834
0	55.127	-53.449	2.600	0	0.013
0	46.981	-54.883	2.600	1	0.832
0	46.874	-54.817	2.600	0	0.011
0	55.234	-53.348	2.600	1	0.832
0	55.347	-53.241	2.600	0	0.014
0	46.737	-54.758	2.600	1	0.834
0	46.618	-54.698	2.600	0	0.011
0	55.430	-53.145	2.600	1	0.832
0	55.531	-53.044	2.600	0	0.012
0	46.493	-54.639	2.600	1	0.833
0	46.380	-54.573	2.600	0	0.011
0	55.615	-52.943	2.600	1	0.833
0	55.698	-52.848	2.600	0	0.010
0	46.273	-54.508	2.600	1	0.832
0	46.160	-54.448	2.600	0	0.010
0	55.769	-52.753	2.600	1	0.833
0	55.853	-52.652	2.600	0	0.010
0	46.047	-54.383	2.600	1	0.833
0	45.946	-54.318	2.600	0	0.009
0	55.924	-52.556	2.600	1	0.833
0	56.001	-52.461	2.600	0	0.009
0	45.845	-54.252	2.600	1	0.833
0	45.732	-54.187	2.600	0	0.010
0	56.073	-52.366	2.600	1	0.833
0	56.138	-52.271	2.600	0	0.008
0	45.642	-54.121	2.600	1	0.833
0	45.547	-54.056	2.600	0	0.008
0	56.216	-52.176	2.600	1	0.833
0	56.269	-52.080	2.600	0	0.008
0	45.464	-53.984	2.600	1	0.833
0	45.363	-53.919	2.600	0	0.008
0	56.335	-51.985	2.600	1	0.833
0	56.388	-51.890	2.600	0	0.008
0	45.291	-53.847	2.600	1	0.832
0	45.208	-53.782	2.600	0	0.007
0	56.454	-51.801	2.600	1	0.833
0	56.495	-51.706	2.600	0	0.007
0	45.119	-53.717	2.600	1	0.833
0	45.047	-53.645	2.600	0	0.007
0	56.543	-51.616	2.600	1	0.833
0	56.602	-51.521	2.600	0	0.007
0	44.970	-53.574	2.600	1	0.833
0	44.875	-53.508	2.600	0	0.008
0	56.644	-51.432	2.600	1	0.833
0	56.698	-51.337	2.600	0	0.007
0	44.815	-53.437	2.600	1	0.832
0	44.732	-53.366	2.600	0	0.007
0	56.727	-51.253	2.600	1	0.833
0	56.781	-51.158	2.600	0	0.007
0	44.673	-53.294	2.600	1	0.833
0	44.589	-53.223	2.600	0	0.007
0	56.811	-51.069	2.600	1	0.833
0	56.876	-50.974	2.600	0	0.007
0	44.530	-53.151	2.600	1	0.833
0	44.452	-53.080	2.600	0	0.007
0	56.900	-50.890	2.600	1	0.833
0	56.941	-50.795	2.600	0	0.006
0	44.405	-53.009	2.600	1	0.833
0	44.316	-52.937	2.600	0	0.007
0	56.977	-50.706	2.600	1	0.833
0	57.001	-50.617	2.600	0	0.006
0	44.274	-52.866	2.600	1	0.832
0	44.203	-52.794	2.600	0	0.006
0	57.037	-50.527	2.600	1	0.833
0	57.072	-50.438	2.600	0	0.006
0	44.161	-52.717	2.600	1	0.833
0	44.078	-52.652	2.600	0	0.006
0	57.090	-50.355	2.600	1	0.833
0	57.126	-50.266	2.600	0	0.006
0	44.036	-52.574	2.600	1	0.833
0	43.971	-52.503	2.600	0	0.006
0	57.162	-50.176	2.600	1	0.833
0	57.179	-50.087	2.600	0	0.005
0	43.917	-52.425	2.600	1	0.833
0	43.869	-52.354	2.600	0	0.005
