Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	0.000000	0.000000	0	0.00	9.1208e+01
1	0.057471	-0.048034	0	0.00	0.0000e+00
0	0.057471	-0.047975	0	350.00	8.2639e-01
1	0.057394	-0.046880	0	0.00	1.3680e-03
0	0.057394	-0.049117	0	350.00	8.3229e-01
1	0.057310	-0.049552	0	0.00	1.1760e-03
0	0.057310	-0.046410	0	350.00	8.3376e-01
1	0.057227	-0.046083	0	0.00	1.1520e-03
0	0.057227	-0.049944	0	350.00	8.3367e-01
1	0.057144	-0.050194	0	0.00	1.1040e-03
0	0.057144	-0.045761	0	350.00	8.3197e-01
1	0.057066	-0.045529	0	0.00	1.1040e-03
0	0.057066	-0.050468	0	350.00	8.3308e-01
1	0.056983	-0.050682	0	0.00	1.1040e-03
0	0.056983	-0.045280	0	350.00	8.3373e-01
1	0.056900	-0.045101	0	0.00	1.1040e-03
0	0.056900	-0.050896	0	350.00	8.3266e-01
1	0.056817	-0.051069	0	0.00	1.1040e-03
0	0.056817	-0.044911	0	350.00	8.3310e-01
1	0.056739	-0.044726	0	0.00	1.1040e-03
0	0.056739	-0.051271	0	350.00	8.3397e-01
1	0.056656	-0.051402	0	0.00	1.1040e-03
0	0.056656	-0.044548	0	350.00	8.3265e-01
1	0.056573	-0.044423	0	0.00	1.1040e-03
0	0.056573	-0.051575	0	350.00	8.3239e-01
1	0.056489	-0.051717	0	0.00	1.1040e-03
0	0.056489	-0.044262	0	350.00	8.3281e-01
1	0.056406	-0.044131	0	0.00	1.1040e-03
0	0.056406	-0.051866	0	350.00	8.3280e-01
1	0.056329	-0.051991	0	0.00	1.1040e-03
0	0.056329	-0.043994	0	350.00	8.3300e-01
1	0.056245	-0.043857	0	0.00	1.1040e-03
0	0.056245	-0.052134	0	350.00	8.3298e-01
1	0.056162	-0.052229	0	0.00	1.1040e-03
0	0.056162	-0.043738	0	350.00	8.3242e-01
1	0.056079	-0.043625	0	0.00	1.1040e-03
0	0.056079	-0.052354	0	350.00	8.3225e-01
1	0.056001	-0.052467	0	0.00	1.1040e-03
0	0.056001	-0.043518	0	350.00	8.3229e-01
1	0.055918	-0.043393	0	0.00	1.1040e-03
0	0.055918	-0.052580	0	350.00	8.3395e-01
1	0.055835	-0.052681	0	0.00	1.1040e-03
0	0.055835	-0.043310	0	350.00	8.3256e-01
1	0.055752	-0.043191	0	0.00	1.1040e-03
0	0.055752	-0.052788	0	350.00	8.3310e-01
1	0.055674	-0.052872	0	0.00	1.1040e-03
0	0.055674	-0.043096	0	350.00	8.3298e-01
1	0.055591	-0.043019	0	0.00	1.1040e-03
0	0.055591	-0.052973	0	350.00	8.3286e-01
1	0.055508	-0.053062	0	0.00	1.1040e-03
0	0.055508	-0.042911	0	350.00	8.3257e-01
1	0.055424	-0.042840	0	0.00	1.1040e-03
0	0.055424	-0.053151	0	350.00	8.3263e-01
1	0.055347	-0.053241	0	0.00	1.1040e-03
0	0.055347	-0.042751	0	350.00	8.3253e-01
1	0.055264	-0.042656	0	0.00	1.1040e-03
0	0.055264	-0.053330	0	350.00	8.3289e-01
1	0.055180	-0.053395	0	0.00	1.1040e-03
0	0.055180	-0.042572	0	350.00	8.3357e-01
1	0.055097	-0.042513	0	0.00	1.1040e-03
0	0.055097	-0.053485	0	350.00	8.3271e-01
1	0.055020	-0.053556	0	0.00	1.1040e-03
0	0.055020	-0.042423	0	350.00	8.3277e-01
1	0.054936	-0.042364	0	0.00	1.1040e-03
0	0.054936	-0.053633	0	350.00	8.3254e-01
1	0.054853	-0.053693	0	0.00	1.1040e-03
0	0.054853	-0.042281	0	350.00	8.3276e-01
1	0.054770	-0.042215	0	0.00	1.1040e-03
0	0.054770	-0.053770	0	350.00	8.3297e-01
1	0.054692	-0.053830	0	0.00	1.1040e-03
0	0.054692	-0.042156	0	350.00	8.3290e-01
1	0.054609	-0.042078	0	0.00	1.1040e-03
0	0.054609	-0.053901	0	350.00	8.3352e-01
1	0.054526	-0.053961	0	0.00	1.1040e-03
0	0.054526	-0.042025	0	350.00	8.3303e-01
1	0.054443	-0.041959	0	0.00	1.1040e-03
0	0.054443	-0.054020	0	350.00	8.3338e-01
1	0.054365	-0.054086	0	0.00	1.1040e-03
0	0.054365	-0.041900	0	350.00	8.3235e-01
1	0.054282	-0.041846	0	0.00	1.1040e-03
0	0.054282	-0.054139	0	350.00	8.3284e-01
1	0.054199	-0.054205	0	0.00	1.1040e-03
0	0.054199	-0.041781	0	350.00	8.3357e-01
1	0.054115	-0.041739	0	0.00	1.1040e-03
0	0.054115	-0.054246	0	350.00	8.3246e-01
1	0.054032	-0.054312	0	0.00	1.1040e-03
0	0.054032	-0.041680	0	350.00	8.3280e-01
1	0.053955	-0.041620	0	0.00	1.1040e-03
0	0.053955	-0.054353	0	350.00	8.3288e-01
1	0.053871	-0.054413	0	0.00	1.1040e-03
0	0.053871	-0.041579	0	350.00	8.3295e-01
1	0.053788	-0.041525	0	0.00	1.1040e-03
0	0.053788	-0.054454	0	350.00	8.3265e-01
1	0.053705	-0.054508	0	0.00	1.1040e-03
0	0.053705	-0.041477	0	350.00	8.3273e-01
1	0.053627	-0.041436	0	0.00	1.1040e-03
0	0.053627	-0.054544	0	350.00	8.3256e-01
1	0.053544	-0.054597	0	0.00	1.1040e-03
0	0.053544	-0.041382	0	350.00	8.3302e-01
1	0.053461	-0.041347	0	0.00	1.1040e-03
0	0.053461	-0.054633	0	350.00	8.3248e-01
1	0.053377	-0.054686	0	0.00	1.1040e-03
0	0.053377	-0.041299	0	350.00	8.3256e-01
1	0.053300	-0.041263	0	0.00	1.1040e-03
0	0.053300	-0.054722	0	350.00	8.3327e-01
1	0.053217	-0.054770	0	0.00	1.1040e-03
0	0.053217	-0.041216	0	350.00	8.3297e-01
1	0.053134	-0.041186	0	0.00	1.1040e-03
0	0.053134	-0.054794	0	350.00	8.3258e-01
1	0.053050	-0.054853	0	0.00	1.1040e-03
0	0.053050	-0.041150	0	350.00	8.3351e-01
1	0.052973	-0.041174	0	0.00	1.1040e-03
0	0.052973	-0.054865	0	350.00	8.3278e-01
1	0.052890	-0.054924	0	0.00	1.1040e-03
0	0.052890	-0.041210	0	350.00	8.3301e-01
1	0.052806	-0.041204	0	0.00	1.1040e-03
0	0.052806	-0.054942	0	350.00	8.3325e-01
1	0.052723	-0.054984	0	0.00	1.1040e-03
0	0.052723	-0.041257	0	350.00	8.3252e-01
1	0.052646	-0.041245	0	0.00	1.1040e-03
0	0.052646	-0.054996	0	350.00	8.3275e-01
1	0.052562	-0.055049	0	0.00	1.1040e-03
0	0.052562	-0.041299	0	350.00	8.3275e-01
1	0.052479	-0.041287	0	0.00	1.1040e-03
0	0.052479	-0.055067	0	350.00	8.3335e-01
1	0.052396	-0.055103	0	0.00	1.1040e-03
0	0.052396	-0.041335	0	350.00	8.3263e-01
1	0.052318	-0.041341	0	0.00	1.1040e-03
0	0.052318	-0.055121	0	350.00	8.3335e-01
1	0.052235	-0.055157	0	0.00	1.1040e-03
0	0.052235	-0.041388	0	350.00	8.3263e-01
1	0.052152	-0.041376	0	0.00	1.1040e-03
0	0.052152	-0.055174	0	350.00	8.3322e-01
1	0.052068	-0.055198	0	0.00	1.1040e-03
0	0.052068	-0.041424	0	350.00	8.3299e-01
1	0.051985	-0.041430	0	0.00	1.1040e-03
0	0.051985	-0.055222	0	350.00	8.3286e-01
1	0.051908	-0.055246	0	0.00	1.1040e-03
0	0.051908	-0.041477	0	350.00	8.3263e-01
1	0.051825	-0.041466	0	0.00	1.1040e-03
0	0.051825	-0.055258	0	350.00	8.3286e-01
1	0.051741	-0.055293	0	0.00	1.1040e-03
0	0.051741	-0.041513	0	350.00	8.3335e-01
1	0.051664	-0.041519	0	0.00	1.1040e-03
0	0.051658	-0.055287	0	350.00	8.3263e-01
1	0.051581	-0.055341	0	0.00	1.1040e-03
0	0.051581	-0.041549	0	350.00	8.3286e-01
1	0.051497	-0.041567	0	0.00	1.1040e-03
0	0.051497	-0.055323	0	350.00	8.3312e-01
1	0.051414	-0.055365	0	0.00	1.1040e-03
0	0.051414	-0.041596	0	350.00	8.3263e-01
1	0.051331	-0.041602	0	0.00	1.1040e-03
0	0.051331	-0.055359	0	350.00	8.3312e-01
1	0.051253	-0.055400	0	0.00	1.1040e-03
0	0.051253	-0.041650	0	350.00	8.3275e-01
1	0.051170	-0.041638	0	0.00	1.1040e-03
0	0.051170	-0.055389	0	350.00	8.3275e-01
