Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	0.042965	-0.050658	0	0.00	1.1500e-03
0	0.046148	-0.054454	0	350.00	7.9905e-01
1	0.046333	-0.054550	0	0.00	1.1500e-03
0	0.042864	-0.050414	0	350.00	7.9963e-01
1	0.042816	-0.050224	0	0.00	1.1500e-03
0	0.046547	-0.054675	0	350.00	7.9826e-01
1	0.046713	-0.054740	0	0.00	1.1500e-03
0	0.042751	-0.050022	0	350.00	8.0021e-01
1	0.042697	-0.049831	0	0.00	1.1500e-03
0	0.046904	-0.054841	0	350.00	8.0022e-01
1	0.047065	-0.054907	0	0.00	1.1500e-03
0	0.042644	-0.049641	0	350.00	7.9947e-01
1	0.042632	-0.049492	0	0.00	1.1500e-03
0	0.047237	-0.054984	0	350.00	7.9858e-01
1	0.047380	-0.055026	0	0.00	1.1500e-03
0	0.042584	-0.049314	0	350.00	7.9981e-01
1	0.042566	-0.049165	0	0.00	1.1500e-03
0	0.047535	-0.055091	0	350.00	7.9930e-01
1	0.047689	-0.055145	0	0.00	1.1500e-03
0	0.042537	-0.049004	0	350.00	7.9959e-01
1	0.042525	-0.048855	0	0.00	1.1500e-03
0	0.047844	-0.055198	0	350.00	7.9980e-01
1	0.047969	-0.055216	0	0.00	1.1500e-03
0	0.042507	-0.048713	0	350.00	7.9932e-01
1	0.042489	-0.048564	0	0.00	1.1500e-03
0	0.048112	-0.055270	0	350.00	7.9918e-01
1	0.048237	-0.055287	0	0.00	1.1500e-03
0	0.042483	-0.048427	0	350.00	7.9944e-01
1	0.042477	-0.048290	0	0.00	1.1500e-03
0	0.048373	-0.055323	0	350.00	7.9980e-01
1	0.048504	-0.055353	0	0.00	1.1500e-03
0	0.042471	-0.048159	0	350.00	7.9904e-01
1	0.042477	-0.048040	0	0.00	1.1500e-03
0	0.048629	-0.055371	0	350.00	7.9917e-01
1	0.048766	-0.055406	0	0.00	1.1500e-03
0	0.042471	-0.047903	0	350.00	7.9951e-01
1	0.042471	-0.047779	0	0.00	1.1500e-03
0	0.048885	-0.055424	0	350.00	7.9999e-01
1	0.048998	-0.055430	0	0.00	1.1500e-03
0	0.042471	-0.047654	0	350.00	7.9944e-01
1	0.042489	-0.047546	0	0.00	1.1500e-03
0	0.049117	-0.055442	0	350.00	7.9915e-01
1	0.049242	-0.055466	0	0.00	1.1500e-03
0	0.042489	-0.047416	0	350.00	7.9907e-01
1	0.042507	-0.047308	0	0.00	1.1500e-03
0	0.049355	-0.055472	0	350.00	7.9967e-01
1	0.049468	-0.055484	0	0.00	1.1500e-03
0	0.042507	-0.047184	0	350.00	7.9949e-01
1	0.042531	-0.047082	0	0.00	1.1500e-03
0	0.049581	-0.055484	0	350.00	7.9912e-01
1	0.049700	-0.055502	0	0.00	1.1500e-03
0	0.042537	-0.046963	0	350.00	8.0039e-01
1	0.042554	-0.046862	0	0.00	1.1500e-03
0	0.049801	-0.055496	0	350.00	7.9943e-01
1	0.049915	-0.055496	0	0.00	1.1500e-03
0	0.042578	-0.046761	0	350.00	7.9908e-01
1	0.042584	-0.046642	0	0.00	1.1500e-03
0	0.050010	-0.055490	0	350.00	7.9936e-01
1	0.050129	-0.055508	0	0.00	1.1500e-03
0	0.042614	-0.046547	0	350.00	7.9964e-01
1	0.042632	-0.046440	0	0.00	1.1500e-03
0	0.050218	-0.055484	0	350.00	7.9895e-01
1	0.050337	-0.055496	0	0.00	1.1500e-03
0	0.042656	-0.046345	0	350.00	7.9918e-01
1	0.042673	-0.046237	0	0.00	1.1500e-03
0	0.050432	-0.055484	0	350.00	7.9936e-01
1	0.050533	-0.055472	0	0.00	1.1500e-03
0	0.042703	-0.046148	0	350.00	7.9970e-01
1	0.042727	-0.046041	0	0.00	1.1500e-03
0	0.050629	-0.055460	0	350.00	7.9963e-01
1	0.050742	-0.055466	0	0.00	1.1500e-03
0	0.042751	-0.045946	0	350.00	7.9930e-01
1	0.042786	-0.045857	0	0.00	1.1500e-03
0	0.050831	-0.055448	0	350.00	7.9989e-01
1	0.050932	-0.055442	0	0.00	1.1500e-03
0	0.042834	-0.045791	0	350.00	7.9989e-01
1	0.042900	-0.045738	0	0.00	1.1500e-03
0	0.051021	-0.055418	0	350.00	7.9977e-01
1	0.051122	-0.055412	0	0.00	1.1500e-03
0	0.042959	-0.045690	0	350.00	7.9969e-01
1	0.043024	-0.045636	0	0.00	1.1500e-03
0	0.051206	-0.055389	0	350.00	7.9933e-01
1	0.051319	-0.055389	0	0.00	1.1500e-03
0	0.043090	-0.045589	0	350.00	7.9977e-01
1	0.043143	-0.045523	0	0.00	1.1500e-03
0	0.051390	-0.055353	0	350.00	7.9942e-01
1	0.051497	-0.055353	0	0.00	1.1500e-03
0	0.043221	-0.045488	0	350.00	7.9982e-01
1	0.043268	-0.045410	0	0.00	1.1500e-03
0	0.051581	-0.055323	0	350.00	7.9978e-01
1	0.051676	-0.055305	0	0.00	1.1500e-03
0	0.043340	-0.045375	0	350.00	7.9911e-01
1	0.043399	-0.045321	0	0.00	1.1500e-03
0	0.051753	-0.055275	0	350.00	7.9970e-01
1	0.051854	-0.055270	0	0.00	1.1500e-03
0	0.043465	-0.045268	0	350.00	7.9967e-01
1	0.043524	-0.045214	0	0.00	1.1500e-03
0	0.051944	-0.055240	0	350.00	7.9951e-01
1	0.052021	-0.055210	0	0.00	1.1500e-03
0	0.043596	-0.045166	0	350.00	7.9936e-01
1	0.043649	-0.045101	0	0.00	1.1500e-03
0	0.052104	-0.055180	0	350.00	7.9975e-01
1	0.052205	-0.055174	0	0.00	1.1500e-03
0	0.043721	-0.045065	0	350.00	7.9987e-01
1	0.043774	-0.045000	0	0.00	1.1500e-03
0	0.052277	-0.055133	0	350.00	7.9925e-01
1	0.052366	-0.055115	0	0.00	1.1500e-03
0	0.043852	-0.044964	0	350.00	7.9933e-01
1	0.043893	-0.044887	0	0.00	1.1500e-03
0	0.052449	-0.055085	0	350.00	7.9953e-01
1	0.052527	-0.055049	0	0.00	1.1500e-03
0	0.043971	-0.044851	0	350.00	7.9953e-01
1	0.044024	-0.044786	0	0.00	1.1500e-03
0	0.052610	-0.055020	0	350.00	7.9991e-01
1	0.052693	-0.054990	0	0.00	1.1500e-03
0	0.044095	-0.044750	0	350.00	7.9945e-01
1	0.044149	-0.044685	0	0.00	1.1500e-03
0	0.052771	-0.054954	0	350.00	7.9934e-01
1	0.052854	-0.054930	0	0.00	1.1500e-03
0	0.044220	-0.044643	0	350.00	7.9942e-01
1	0.044274	-0.044577	0	0.00	1.1500e-03
0	0.052919	-0.054883	0	350.00	7.9950e-01
1	0.053009	-0.054859	0	0.00	1.1500e-03
0	0.044339	-0.044530	0	350.00	7.9911e-01
1	0.044405	-0.044476	0	0.00	1.1500e-03
0	0.053080	-0.054817	0	350.00	7.9988e-01
1	0.053169	-0.054794	0	0.00	1.1500e-03
0	0.044470	-0.044429	0	350.00	7.9950e-01
1	0.044524	-0.044369	0	0.00	1.1500e-03
0	0.053241	-0.054752	0	350.00	7.9980e-01
1	0.053312	-0.054710	0	0.00	1.1500e-03
0	0.044601	-0.044333	0	350.00	7.9931e-01
1	0.044643	-0.044256	0	0.00	1.1500e-03
0	0.053383	-0.054669	0	350.00	7.9969e-01
1	0.053467	-0.054645	0	0.00	1.1500e-03
0	0.044720	-0.044214	0	350.00	7.9955e-01
1	0.044780	-0.044161	0	0.00	1.1500e-03
0	0.053526	-0.054585	0	350.00	7.9928e-01
1	0.053621	-0.054567	0	0.00	1.1500e-03
0	0.044845	-0.044107	0	350.00	7.9966e-01
1	0.044905	-0.044054	0	0.00	1.1500e-03
