Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	203.349	28.520	2.550	0	0.000
0	203.438	28.478	2.550	1	0.821
0	203.361	28.514	2.550	0	0.077
0	203.289	28.549	2.550	1	0.832
0	202.992	28.591	2.550	0	0.255
0	204.295	27.960	2.550	1	0.783
0	204.687	27.669	2.550	0	0.408
0	202.867	28.555	2.550	1	0.781
0	202.724	28.526	2.550	0	0.129
0	204.967	27.431	2.550	1	0.782
0	205.199	27.217	2.550	0	0.274
0	202.605	28.484	2.550	1	0.781
0	202.456	28.454	2.550	0	0.134
0	205.389	27.026	2.550	1	0.781
0	205.556	26.842	2.550	0	0.216
0	202.337	28.413	2.550	1	0.781
0	202.188	28.383	2.550	0	0.134
0	205.717	26.663	2.550	1	0.783
0	205.854	26.497	2.550	0	0.191
0	202.057	28.347	2.550	1	0.782
0	201.927	28.311	2.550	0	0.123
0	205.967	26.342	2.550	1	0.780
0	206.097	26.175	2.550	0	0.188
0	201.802	28.276	2.550	1	0.781
0	201.665	28.240	2.550	0	0.125
0	206.205	26.027	2.550	1	0.782
0	206.282	25.884	2.550	0	0.147
0	201.534	28.204	2.550	1	0.781
0	201.403	28.169	2.550	0	0.120
0	206.371	25.741	2.550	1	0.781
0	206.466	25.598	2.550	0	0.152
0	201.254	28.139	2.550	1	0.782
0	201.135	28.097	2.550	0	0.114
0	206.532	25.467	2.550	1	0.782
0	206.621	25.319	2.550	0	0.154
0	201.010	28.056	2.550	1	0.781
0	200.867	28.026	2.550	0	0.129
0	206.681	25.188	2.550	1	0.781
0	206.746	25.057	2.550	0	0.133
0	200.737	27.990	2.550	1	0.780
0	200.594	27.960	2.550	0	0.132
0	206.794	24.938	2.550	1	0.781
0	206.853	24.807	2.550	0	0.127
0	200.475	27.919	2.550	1	0.780
0	200.326	27.889	2.550	0	0.137
0	206.901	24.682	2.550	1	0.782
0	206.960	24.557	2.550	0	0.123
0	200.207	27.847	2.550	1	0.781
0	200.064	27.818	2.550	0	0.132
0	207.002	24.432	2.550	1	0.781
0	207.061	24.307	2.550	0	0.125
0	199.927	27.782	2.550	1	0.782
0	199.808	27.740	2.550	0	0.114
0	207.085	24.194	2.550	1	0.781
0	207.121	24.075	2.550	0	0.110
0	199.677	27.705	2.550	1	0.781
0	199.535	27.675	2.550	0	0.132
0	207.163	23.950	2.550	1	0.781
0	207.198	23.837	2.550	0	0.107
0	199.416	27.633	2.550	1	0.781
0	199.279	27.597	2.550	0	0.125
0	207.222	23.724	2.550	1	0.782
0	207.252	23.611	2.550	0	0.104
0	199.142	27.568	2.550	1	0.782
0	199.011	27.532	2.550	0	0.123
0	207.276	23.498	2.550	1	0.780
0	207.305	23.385	2.550	0	0.106
0	198.880	27.490	2.550	1	0.781
0	198.737	27.461	2.550	0	0.132
0	207.311	23.278	2.550	1	0.781
0	207.341	23.165	2.550	0	0.104
0	198.618	27.419	2.550	1	0.781
0	198.470	27.389	2.550	0	0.137
0	207.353	23.058	2.550	1	0.781
0	207.377	22.951	2.550	0	0.097
0	198.357	27.348	2.550	1	0.782
0	198.214	27.318	2.550	0	0.129
0	207.395	22.838	2.550	1	0.781
0	207.401	22.736	2.550	0	0.092
0	198.089	27.276	2.550	1	0.781
0	197.940	27.252	2.550	0	0.136
0	207.406	22.635	2.550	1	0.781
0	207.436	22.516	2.550	0	0.111
