Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	203.128	28.621	2.700	0	0.000
0	203.164	28.621	2.700	1	0.298
0	203.140	28.621	2.700	0	0.022
0	203.123	28.627	2.700	1	0.392
0	202.861	28.555	2.700	0	0.226
0	203.384	28.514	2.700	1	0.782
0	203.587	28.401	2.700	0	0.205
0	202.599	28.490	2.700	1	0.780
0	202.343	28.419	2.700	0	0.235
0	203.783	28.294	2.700	1	0.782
0	203.944	28.192	2.700	0	0.168
0	202.093	28.353	2.700	1	0.782
0	201.849	28.282	2.700	0	0.221
0	204.128	28.085	2.700	1	0.781
0	204.265	27.984	2.700	0	0.151
0	201.593	28.216	2.700	1	0.781
0	201.332	28.145	2.700	0	0.236
0	204.426	27.877	2.700	1	0.780
0	204.556	27.776	2.700	0	0.150
0	201.082	28.079	2.700	1	0.781
0	200.820	28.014	2.700	0	0.234
0	204.699	27.669	2.700	1	0.780
0	204.800	27.574	2.700	0	0.126
0	200.582	27.943	2.700	1	0.781
0	200.320	27.877	2.700	0	0.229
0	204.937	27.473	2.700	1	0.782
0	205.044	27.371	2.700	0	0.133
0	200.070	27.806	2.700	1	0.782
0	199.808	27.740	2.700	0	0.229
0	205.134	27.270	2.700	1	0.782
0	205.253	27.169	2.700	0	0.138
0	199.553	27.669	2.700	1	0.782
0	199.291	27.603	2.700	0	0.234
0	205.342	27.074	2.700	1	0.781
0	205.437	26.973	2.700	0	0.123
0	199.029	27.532	2.700	1	0.781
0	198.779	27.467	2.700	0	0.229
0	205.520	26.878	2.700	1	0.781
0	205.621	26.776	2.700	0	0.127
0	198.547	27.395	2.700	1	0.781
0	198.285	27.330	2.700	0	0.229
0	205.699	26.681	2.700	1	0.781
0	205.782	26.580	2.700	0	0.116
0	198.029	27.258	2.700	1	0.781
0	197.767	27.193	2.700	0	0.234
0	205.865	26.485	2.700	1	0.780
0	205.943	26.390	2.700	0	0.111
0	197.506	27.127	2.700	1	0.781
0	197.250	27.056	2.700	0	0.235
0	206.008	26.288	2.700	1	0.781
0	206.092	26.193	2.700	0	0.115
0	197.000	26.991	2.700	1	0.781
0	196.738	26.919	2.700	0	0.241
0	206.151	26.098	2.700	1	0.781
0	206.216	26.003	2.700	0	0.105
0	196.482	26.854	2.700	1	0.781
0	196.232	26.782	2.700	0	0.230
0	206.276	25.908	2.700	1	0.781
0	206.341	25.807	2.700	0	0.109
0	195.977	26.717	2.700	1	0.781
0	195.721	26.645	2.700	0	0.235
0	206.389	25.711	2.700	1	0.781
0	206.449	25.616	2.700	0	0.100
0	195.489	26.580	2.700	1	0.781
0	195.227	26.509	2.700	0	0.231
0	206.502	25.521	2.700	1	0.781
0	206.562	25.426	2.700	0	0.102
0	194.965	26.443	2.700	1	0.781
0	194.715	26.372	2.700	0	0.226
0	206.609	25.331	2.700	1	0.781
0	206.663	25.235	2.700	0	0.099
0	194.471	26.306	2.700	1	0.781
0	194.209	26.235	2.700	0	0.231
0	206.704	25.146	2.700	1	0.781
0	206.758	25.051	2.700	0	0.099
0	194.019	26.164	2.700	1	0.781
0	193.954	26.080	2.700	0	0.094
0	206.782	24.956	2.700	1	0.781
0	206.835	24.861	2.700	0	0.097
0	193.888	25.991	2.700	1	0.781
0	193.841	25.908	2.700	0	0.087
0	206.877	24.765	2.700	1	0.781
0	206.919	24.670	2.700	0	0.094
0	193.775	25.824	2.700	1	0.781
0	193.733	25.735	2.700	0	0.089
0	206.948	24.581	2.700	1	0.781
0	206.990	24.486	2.700	0	0.094
0	193.680	25.652	2.700	1	0.781
0	193.620	25.563	2.700	0	0.097
0	207.026	24.390	2.700	1	0.781
