Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	207.424	21.380	2.500	0	0.000
0	207.418	21.290	2.500	1	0.716
0	207.424	21.356	2.500	0	0.057
0	207.430	21.457	2.500	1	0.811
0	207.401	22.689	2.500	0	0.850
0	207.282	20.333	2.500	1	0.749
0	207.168	19.904	2.500	0	0.362
0	207.335	23.183	2.500	1	0.750
0	207.264	23.522	2.500	0	0.289
0	207.055	19.523	2.500	1	0.748
0	206.954	19.244	2.500	0	0.253
0	207.192	23.837	2.500	1	0.751
0	207.115	24.093	2.500	0	0.223
0	206.847	19.000	2.500	1	0.750
0	206.746	18.774	2.500	0	0.206
0	207.038	24.355	2.500	1	0.750
0	206.960	24.545	2.500	0	0.175
0	206.645	18.571	2.500	1	0.750
0	206.544	18.375	2.500	0	0.184
0	206.883	24.777	2.500	1	0.750
0	206.800	24.932	2.500	0	0.153
0	206.443	18.191	2.500	1	0.750
0	206.347	18.024	2.500	0	0.163
0	206.716	25.122	2.500	1	0.750
0	206.633	25.271	2.500	0	0.145
0	206.246	17.875	2.500	1	0.750
0	206.151	17.726	2.500	0	0.150
0	206.556	25.420	2.500	1	0.750
0	206.472	25.592	2.500	0	0.163
0	206.050	17.584	2.500	1	0.750
0	205.955	17.453	2.500	0	0.141
0	206.389	25.723	2.500	1	0.749
0	206.306	25.854	2.500	0	0.132
0	205.859	17.316	2.500	1	0.750
0	205.764	17.209	2.500	0	0.125
0	206.222	25.991	2.500	1	0.750
0	206.139	26.104	2.500	0	0.120
0	205.669	17.096	2.500	1	0.750
0	205.568	16.989	2.500	0	0.125
0	206.056	26.217	2.500	1	0.750
0	205.973	26.348	2.500	0	0.132
0	205.473	16.893	2.500	1	0.750
0	205.378	16.769	2.500	0	0.134
0	205.883	26.449	2.500	1	0.750
0	205.800	26.556	2.500	0	0.115
0	205.282	16.691	2.500	1	0.750
0	205.187	16.584	2.500	0	0.122
0	205.717	26.675	2.500	1	0.750
0	205.633	26.759	2.500	0	0.102
0	205.092	16.489	2.500	1	0.749
0	204.997	16.406	2.500	0	0.110
0	205.544	26.872	2.500	1	0.750
0	205.461	26.949	2.500	0	0.099
0	204.902	16.322	2.500	1	0.749
0	204.812	16.245	2.500	0	0.103
0	205.378	27.038	2.500	1	0.749
0	205.288	27.139	2.500	0	0.117
0	204.717	16.174	2.500	1	0.750
0	204.622	16.078	2.500	0	0.117
0	205.205	27.223	2.500	1	0.750
0	205.122	27.300	2.500	0	0.099
0	204.527	16.013	2.500	1	0.750
0	204.431	15.947	2.500	0	0.100
0	205.032	27.365	2.500	1	0.750
0	204.949	27.467	2.500	0	0.114
0	204.342	15.876	2.500	1	0.750
0	204.247	15.817	2.500	0	0.098
0	204.860	27.532	2.500	1	0.750
0	204.777	27.597	2.500	0	0.092
0	204.152	15.757	2.500	1	0.749
0	204.057	15.686	2.500	0	0.103
0	204.687	27.669	2.500	1	0.750
0	204.604	27.746	2.500	0	0.099
0	203.967	15.632	2.500	1	0.750
0	203.872	15.573	2.500	0	0.098
0	204.515	27.812	2.500	1	0.750
0	204.426	27.871	2.500	0	0.093
0	203.777	15.513	2.500	1	0.750
0	203.688	15.471	2.500	0	0.086
0	204.342	27.931	2.500	1	0.749
0	204.253	28.002	2.500	0	0.099
0	203.593	15.412	2.500	1	0.749
0	203.503	15.370	2.500	0	0.086
0	204.164	28.044	2.500	1	0.750
0	204.080	28.109	2.500	0	0.090
0	203.408	15.311	2.500	1	0.749
0	203.319	15.275	2.500	0	0.084
0	203.991	28.175	2.500	1	0.750
0	203.902	28.222	2.500	0	0.088
0	203.224	15.227	2.500	1	0.750
0	203.128	15.180	2.500	0	0.093
0	203.819	28.282	2.500	1	0.750
0	203.729	28.347	2.500	0	0.098
0	203.039	15.144	2.500	1	0.750
0	202.944	15.097	2.500	0	0.093
0	203.640	28.365	2.500	1	0.750
0	203.557	28.436	2.500	0	0.095
0	202.855	15.073	2.500	1	0.750
0	202.760	15.013	2.500	0	0.098
0	203.468	28.472	2.500	1	0.750
0	203.378	28.514	2.500	0	0.086
0	202.670	14.984	2.500	1	0.750
0	202.581	14.960	2.500	0	0.080
0	203.289	28.549	2.500	1	0.750
0	203.206	28.615	2.500	0	0.092
0	202.486	14.924	2.500	1	0.750
0	202.397	14.888	2.500	0	0.084
0	203.111	28.603	2.500	1	0.749
0	203.021	28.621	2.500	0	0.079
0	202.301	14.859	2.500	1	0.750
0	202.212	14.835	2.500	0	0.080
0	202.932	28.555	2.500	1	0.750
0	202.843	28.567	2.500	0	0.078
0	202.117	14.811	2.500	1	0.750
0	202.028	14.775	2.500	0	0.084
0	202.748	28.514	2.500	1	0.750
0	202.658	28.514	2.500	0	0.078
0	201.938	14.757	2.500	1	0.750
0	201.843	14.734	2.500	0	0.085
0	202.563	28.472	2.500	1	0.750
0	202.474	28.472	2.500	0	0.079
0	201.754	14.722	2.500	1	0.749
0	201.665	14.686	2.500	0	0.084
0	202.385	28.425	2.500	1	0.750
0	202.290	28.407	2.500	0	0.084
0	201.570	14.668	2.500	1	0.750
0	201.480	14.656	2.500	0	0.078
0	202.200	28.377	2.500	1	0.750
0	202.105	28.359	2.500	0	0.084
0	201.391	14.644	2.500	1	0.749
0	201.296	14.615	2.500	0	0.087
0	202.016	28.311	2.500	1	0.749
0	201.927	28.323	2.500	0	0.078
0	201.207	14.603	2.500	1	0.750
0	201.117	14.591	2.500	0	0.078
0	201.831	28.270	2.500	1	0.750
0	201.742	28.270	2.500	0	0.078
0	201.022	14.579	2.500	1	0.750
0	200.933	14.567	2.500	0	0.078
0	201.653	28.228	2.500	1	0.750
0	201.558	28.210	2.500	0	0.084
0	200.844	14.573	2.500	1	0.749
0	200.754	14.531	2.500	0	0.086
0	201.468	28.181	2.500	1	0.750
0	201.373	28.163	2.500	0	0.084
0	200.659	14.537	2.500	1	0.750
0	200.570	14.531	2.500	0	0.078
0	201.284	28.121	2.500	1	0.750
0	201.195	28.121	2.500	0	0.078
0	200.481	14.537	2.500	1	0.749
0	200.391	14.513	2.500	0	0.080
0	201.100	28.079	2.500	1	0.749
0	201.010	28.079	2.500	0	0.079
0	200.302	14.525	2.500	1	0.750
0	200.207	14.507	2.500	0	0.084
0	200.915	28.026	2.500	1	0.750
0	200.826	28.020	2.500	0	0.078
0	200.118	14.531	2.500	1	0.749
0	200.029	14.502	2.500	0	0.082
0	200.737	27.978	2.500	1	0.750
0	200.647	27.972	2.500	0	0.078
0	199.939	14.513	2.500	1	0.750
0	199.850	14.519	2.500	0	0.078
0	200.552	27.937	2.500	1	0.750
0	200.463	27.919	2.500	0	0.079
0	199.761	14.531	2.500	1	0.750
0	199.671	14.519	2.500	0	0.078
0	200.368	27.883	2.500	1	0.750
0	200.278	27.889	2.500	0	0.080
0	199.576	14.531	2.500	1	0.749
0	199.487	14.519	2.500	0	0.080
0	200.183	27.830	2.500	1	0.750
0	200.094	27.824	2.500	0	0.078
0	199.398	14.555	2.500	1	0.750
0	199.309	14.543	2.500	0	0.078
0	200.005	27.770	2.500	1	0.749
0	199.915	27.788	2.500	0	0.079
0	199.219	14.567	2.500	1	0.750
0	199.130	14.567	2.500	0	0.078
0	199.820	27.728	2.500	1	0.750
0	199.731	27.728	2.500	0	0.078
0	199.041	14.585	2.500	1	0.750
0	198.952	14.597	2.500	0	0.078
0	199.636	27.681	2.500	1	0.750
0	199.547	27.681	2.500	0	0.078
0	198.862	14.615	2.500	1	0.750
0	198.773	14.626	2.500	0	0.078
0	199.457	27.639	2.500	1	0.750
0	199.362	27.621	2.500	0	0.084
0	198.684	14.656	2.500	1	0.749
0	198.595	14.644	2.500	0	0.078
0	199.273	27.586	2.500	1	0.750
0	199.184	27.580	2.500	0	0.078
0	198.505	14.686	2.500	1	0.750
0	198.416	14.692	2.500	0	0.078
0	199.088	27.532	2.500	1	0.750
0	198.999	27.550	2.500	0	0.081
0	198.327	14.728	2.500	1	0.750
0	198.238	14.734	2.500	0	0.078
0	198.904	27.484	2.500	1	0.750
0	198.815	27.484	2.500	0	0.078
0	198.148	14.781	2.500	1	0.749
0	198.059	14.781	2.500	0	0.078
0	198.725	27.443	2.500	1	0.750
0	198.630	27.437	2.500	0	0.083
0	197.970	14.829	2.500	1	0.750
0	197.881	14.835	2.500	0	0.078
0	198.541	27.395	2.500	1	0.750
0	198.452	27.377	2.500	0	0.079
0	197.791	14.876	2.500	1	0.750
0	197.708	14.900	2.500	0	0.075
0	198.357	27.348	2.500	1	0.750
0	198.267	27.330	2.500	0	0.079
0	197.619	14.936	2.500	1	0.750
0	197.529	14.960	2.500	0	0.080
0	198.172	27.294	2.500	1	0.750
0	198.083	27.282	2.500	0	0.078
0	197.440	15.001	2.500	1	0.750
0	197.351	15.031	2.500	0	0.082
0	197.994	27.246	2.500	1	0.749
0	197.898	27.229	2.500	0	0.084
0	197.262	15.079	2.500	1	0.750
0	197.173	15.091	2.500	0	0.078
0	197.809	27.199	2.500	1	0.750
0	197.720	27.181	2.500	0	0.079
0	197.083	15.144	2.500	1	0.750
0	197.000	15.180	2.500	0	0.079
0	197.625	27.133	2.500	1	0.749
0	197.535	27.145	2.500	0	0.078
0	196.911	15.239	2.500	1	0.750
0	196.821	15.245	2.500	0	0.078
0	197.440	27.098	2.500	1	0.750
0	197.351	27.086	2.500	0	0.078
0	196.732	15.317	2.500	1	0.749
0	196.643	15.341	2.500	0	0.080
0	197.262	27.044	2.500	1	0.750
0	197.167	27.044	2.500	0	0.083
0	196.560	15.400	2.500	1	0.750
0	196.470	15.442	2.500	0	0.086
0	197.077	26.991	2.500	1	0.750
0	196.988	27.002	2.500	0	0.078
0	196.381	15.507	2.500	1	0.750
0	196.298	15.537	2.500	0	0.077
0	196.893	26.955	2.500	1	0.750
0	196.804	26.937	2.500	0	0.079
0	196.209	15.608	2.500	1	0.750
0	196.119	15.644	2.500	0	0.084
0	196.708	26.889	2.500	1	0.749
0	196.619	26.901	2.500	0	0.078
0	196.036	15.721	2.500	1	0.750
0	195.947	15.757	2.500	0	0.084
0	196.530	26.854	2.500	1	0.750
0	196.435	26.836	2.500	0	0.084
0	195.858	15.828	2.500	1	0.750
0	195.774	15.870	2.500	0	0.083
0	196.345	26.800	2.500	1	0.750
