Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	204.896	16.328	2.600	0	0.000
0	204.818	16.263	2.600	1	0.675
0	204.884	16.316	2.600	0	0.074
0	204.931	16.358	2.600	1	0.843
0	205.717	17.155	2.600	0	0.785
0	203.967	15.644	2.600	1	0.752
0	203.557	15.400	2.600	0	0.382
0	206.014	17.542	2.600	1	0.749
0	206.222	17.840	2.600	0	0.303
0	203.224	15.227	2.600	1	0.750
0	202.950	15.108	2.600	0	0.249
0	206.395	18.107	2.600	1	0.749
0	206.538	18.351	2.600	0	0.241
0	202.676	14.995	2.600	1	0.750
0	202.450	14.918	2.600	0	0.203
0	206.651	18.571	2.600	1	0.750
0	206.752	18.774	2.600	0	0.192
0	202.236	14.847	2.600	1	0.750
0	202.016	14.775	2.600	0	0.197
0	206.847	18.976	2.600	1	0.751
0	206.913	19.154	2.600	0	0.162
0	201.831	14.734	2.600	1	0.750
0	201.629	14.680	2.600	0	0.178
0	206.996	19.339	2.600	1	0.750
0	207.044	19.505	2.600	0	0.147
0	201.451	14.644	2.600	1	0.750
0	201.284	14.615	2.600	0	0.147
0	207.109	19.684	2.600	1	0.750
0	207.151	19.839	2.600	0	0.139
0	201.117	14.591	2.600	1	0.749
0	200.951	14.567	2.600	0	0.146
0	207.198	19.999	2.600	1	0.749
0	207.246	20.154	2.600	0	0.141
0	200.802	14.555	2.600	1	0.750
0	200.641	14.537	2.600	0	0.138
0	207.282	20.303	2.600	1	0.750
0	207.305	20.446	2.600	0	0.126
0	200.505	14.537	2.600	1	0.749
0	200.356	14.525	2.600	0	0.127
0	207.329	20.582	2.600	1	0.749
0	207.365	20.731	2.600	0	0.133
0	200.219	14.525	2.600	1	0.750
0	200.070	14.513	2.600	0	0.127
0	207.383	20.868	2.600	1	0.750
0	207.395	20.999	2.600	0	0.114
0	199.927	14.507	2.600	1	0.750
0	199.808	14.525	2.600	0	0.105
0	207.418	21.136	2.600	1	0.749
0	207.418	21.261	2.600	0	0.109
0	199.666	14.519	2.600	1	0.750
0	199.547	14.531	2.600	0	0.104
0	207.436	21.392	2.600	1	0.749
0	207.442	21.517	2.600	0	0.109
0	199.410	14.537	2.600	1	0.749
0	199.297	14.555	2.600	0	0.100
0	207.448	21.642	2.600	1	0.750
0	207.454	21.766	2.600	0	0.109
0	199.160	14.561	2.600	1	0.750
0	199.059	14.585	2.600	0	0.090
0	207.460	21.891	2.600	1	0.750
0	207.448	21.999	2.600	0	0.094
0	198.934	14.597	2.600	1	0.750
0	198.815	14.615	2.600	0	0.105
0	207.448	22.118	2.600	1	0.750
0	207.442	22.231	2.600	0	0.096
0	198.708	14.638	2.600	1	0.750
0	198.589	14.656	2.600	0	0.105
0	207.430	22.338	2.600	1	0.750
0	207.436	22.469	2.600	0	0.114
0	198.481	14.680	2.600	1	0.750
0	198.380	14.710	2.600	0	0.092
0	207.412	22.564	2.600	1	0.749
0	207.418	22.689	2.600	0	0.109
0	198.267	14.734	2.600	1	0.750
0	198.166	14.763	2.600	0	0.092
0	207.395	22.790	2.600	1	0.749
0	207.389	22.897	2.600	0	0.093
